dem,eleccion,sec,id_cas,ln,pe,pan,pri,prd,pvem,pt,mc,na,morena,ph,eas,pri_pvem,prd_pt,cnr,nulos,totales,max,2max,3max,marg_1_2,marg_p_1_2,mar_2_3,marg_p_2_3,part_p,pan_p,pri_p,prd_p,pvem_p,pt_p,mc_p,na_p,morena_p,ph_p,es_p,pri_pvem_p,prd_pt_p,cnr_p,nulos_p,totales_p,max_p,max2_p,max3_p,1er,2ndo,3er,coal_pan_p,coal_pri_pvem_p,coal_prd_pt_,coal_morena_p,coal_mc_p,coal_otros_,coal_totales_p,max_coal,max2_coal,max3_coal,1er_coal,2ndo_coal,3er_coal%
BENITO JUAREZ,2015,4269,4269-B,538,562,79,22,26,26,2,13,1,33,11,16,0,0,0,21,250,79,33,26,46,0.1840000000,7,0.0280000000,0.4646840149,31.60%,8.80%,10.40%,10.40%,0.80%,5.20%,0.40%,13.20%,4.40%,6.40%,0.00%,0.00%,0.00%,8.40%,100.00%,31.60%,13.20%,10.40%,PAN,MORENA,PRD,31.60%,19.20%,11.20%,13.20%,5.20%,19.60%,100.00%,31.60%,19.20%,13.20%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4269,4269-C1,538,562,80,16,17,15,4,12,6,35,12,20,0,0,1,13,231,80,35,20,45,0.1948051948,15,0.0649350649,0.4293680297,34.63%,6.93%,7.36%,6.49%,1.73%,5.19%,2.60%,15.15%,5.19%,8.66%,0.00%,0.00%,0.43%,5.63%,100.00%,34.63%,15.15%,8.66%,PAN,MORENA,ES,34.63%,13.42%,9.09%,15.15%,5.19%,22.51%,100.00%,34.63%,15.15%,13.42%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4269,4269-C2,537,562,92,15,23,12,1,9,7,36,7,11,0,0,1,13,227,92,36,23,56,0.2466960352,13,0.0572687225,0.4227188082,40.53%,6.61%,10.13%,5.29%,0.44%,3.96%,3.08%,15.86%,3.08%,4.85%,0.00%,0.00%,0.44%,5.73%,100.00%,40.53%,15.86%,10.13%,PAN,MORENA,PRD,40.53%,11.89%,10.57%,15.86%,3.96%,17.18%,100.00%,40.53%,15.86%,11.89%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4270,4270-B,604,626,102,24,22,10,3,14,4,37,5,10,3,0,2,20,256,102,37,24,65,0.2539062500,13,0.0507812500,0.4238410596,39.84%,9.38%,8.59%,3.91%,1.17%,5.47%,1.56%,14.45%,1.95%,3.91%,1.17%,0.00%,0.78%,7.81%,100.00%,39.84%,14.45%,9.38%,PAN,MORENA,PRI,39.84%,14.45%,9.77%,14.45%,5.47%,16.02%,100.00%,39.84%,14.45%,14.45%,PAN,MORENA,MORENA
BENITO JUAREZ,2015,4270,4270-C1,604,626,62,33,28,16,3,11,6,53,13,20,2,0,0,24,271,62,53,33,9,0.0332103321,20,0.0738007380,0.4486754967,22.88%,12.18%,10.33%,5.90%,1.11%,4.06%,2.21%,19.56%,4.80%,7.38%,0.74%,0.00%,0.00%,8.86%,100.00%,22.88%,19.56%,12.18%,PAN,MORENA,PRI,22.88%,18.82%,11.44%,19.56%,4.06%,23.25%,100.00%,22.88%,19.56%,18.82%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4271,4271-B,628,657,104,31,28,15,6,10,3,62,4,14,1,0,0,31,309,104,62,31,42,0.1359223301,31,0.1003236246,0.4920382166,33.66%,10.03%,9.06%,4.85%,1.94%,3.24%,0.97%,20.06%,1.29%,4.53%,0.32%,0.00%,0.00%,10.03%,100.00%,33.66%,20.06%,10.03%,PAN,MORENA,PRI,33.66%,15.21%,11.00%,20.06%,3.24%,16.83%,100.00%,33.66%,20.06%,15.21%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4271,4271-C1,628,656,105,28,28,22,4,9,9,45,14,15,2,1,1,29,312,105,45,28,60,0.1923076923,17,0.0544871795,0.4968152866,33.65%,8.97%,8.97%,7.05%,1.28%,2.88%,2.88%,14.42%,4.49%,4.81%,0.64%,0.32%,0.32%,9.29%,100.00%,33.65%,14.42%,8.97%,PAN,MORENA,PRI,33.65%,16.67%,10.58%,14.42%,2.88%,21.79%,100.00%,33.65%,16.67%,14.42%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4272,4272-B,534,563,54,39,19,13,2,8,5,51,13,13,0,1,1,17,236,54,51,39,3,0.0127118644,12,0.0508474576,0.4419475655,22.88%,16.53%,8.05%,5.51%,0.85%,3.39%,2.12%,21.61%,5.51%,5.51%,0.00%,0.42%,0.42%,7.20%,100.00%,22.88%,21.61%,16.53%,PAN,MORENA,PRI,22.88%,22.03%,9.32%,21.61%,3.39%,20.76%,100.00%,22.88%,22.03%,21.61%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4272,4272-C1,534,562,69,21,19,9,4,8,4,47,6,10,1,0,2,21,221,69,47,21,22,0.0995475113,26,0.1176470588,0.4138576779,31.22%,9.50%,8.60%,4.07%,1.81%,3.62%,1.81%,21.27%,2.71%,4.52%,0.45%,0.00%,0.90%,9.50%,100.00%,31.22%,21.27%,9.50%,PAN,MORENA,PRI,31.22%,14.03%,10.41%,21.27%,3.62%,19.46%,100.00%,31.22%,21.27%,14.03%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4273,4273-B,733,761,98,32,28,21,4,24,9,39,16,12,2,0,0,37,322,98,39,32,59,0.1832298137,7,0.0217391304,0.4392905866,30.43%,9.94%,8.70%,6.52%,1.24%,7.45%,2.80%,12.11%,4.97%,3.73%,0.62%,0.00%,0.00%,11.49%,100.00%,30.43%,12.11%,9.94%,PAN,MORENA,PRI,30.43%,17.08%,9.94%,12.11%,7.45%,22.98%,100.00%,30.43%,17.08%,12.11%,PAN,PRI_PVEM,MORENA
