the_geom,dem,sec,ln,pan,pri,prd,pvem,pt,mc,na,morena,pes,ph,pt_mor_pes,pt_morena,pt_pes,mor_pes,pan_prd_mc,pan_prd,pan_mc,prd_mc,cnr,nulos,totales,max,2max,3max,marg_1_2,marg_p_1_2,mar_2_3,marg_p_2_3,part_p,pan_p,pri_p,prd_p,pvem_p,pt_p,mc_p,na_p,morena_p,pes_p,ph_p,pt_mor_pes_p,pt_morena_p,pt_pes_p,mor_pes_P,pan_prd_mc_p,pan_prd_p,pan_mc_p,prd_mc_p,cnr_p,nulos_p,totales_p,max_p,max2_p,max3_p,1er,2ndo,3er,coal_pan_prd_mc,coal_morena_pt_pes,coal_pri,coal_pvem,coal_otros_,coal_totales_p,max_coal,max2_coal,max3_coal,1er_coal,2ndo_coal,3er_coal%
0106000020E6100000010000000103000000010000001F000000446E63D921C958C0EF0F9D735C673340C9A55BF521C958C008E991A75767334010529C3322C958C07AFA7E6350673340FC034AA122C958C0A7805B96436733405B07CE1623C958C0AB5AA2BD35673340EE2F218423C958C02CA9731C296733408D473C6C24C958C04D04974F126733402D07F20625C958C039842138026733408000BB5F25C958C0233112F7F8663340D527267B16C958C0E257C005F1663340FB8A292A09C958C0AC60AE50E9663340364A93F40CC958C0837A6CA78B663340C9E2D386FEC858C09BFCE20D8466334060ED4FC2FAC858C0289D0745E1663340458C7BFFEBC858C0F3794E7DD866334056B8A83CDDC858C0E41C82B5CF663340ED36D01BD1C858C000191DE1C8663340D96AD9AFC5C858C060498772C266334067412086C1C858C068065F1AC0663340BAE6DCBFBDC858C0F273C7DA2367334041A89834BDC858C0D236473B32673340BD099A6EBCC858C07684A3D146673340198FC641BEC858C0DCE58E1C47673340DFB2C837CAC858C09473930749673340D3FC2341D8C858C041627BC54C6733408BCEA4DAD9C858C0B751301D4D6733404F8ADBC9E6C858C0B2D458E24F67334089B0540DF7C858C0EC5207935367334056A75A51F8C858C05A7078DC536733406CDFD39304C958C036BFCBA356673340446E63D921C958C0EF0F9D735C673340,BENITO JUAREZ,4269,1686,449,109,29,32,27,18,15,425,26,32,13,5,0,2,6,0,3,0,4,22,1217,449,425,109,24,0.019720624,316,0.259654889,0.721826809,36.89%,8.96%,2.38%,2.63%,2.22%,1.48%,1.23%,34.92%,2.14%,2.63%,1.07%,0.41%,0.00%,0.16%,0.49%,0.00%,0.25%,0.00%,0.33%,1.81%,100.00%,36.89%,34.92%,8.96%,PAN,MORENA,PRI,41.50%,38.78%,8.96%,2.63%,8.13%,100.00%,41.50%,38.78%,8.96%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000001C000000C1820CB872C958C0E739E8D96D673340C4DFE9C072C958C0549F95586B673340A961DFC572C958C07A3DD2F1696733405A1483DC72C958C0A871131B67673340457B120573C958C0E9D72D0E62673340CE96031A73C958C01BB91F715F67334033F9E7ED73C958C0EB4B1E46406733403CC157D574C958C01D8FF73A1E673340120118A775C958C0C97C6160FF66334080619F1368C958C0025245DAFF6633403980E2D65AC958C0BEB0A724026733401014A7294AC958C0C7BCF84B0467334098AD854749C958C0CABC0E982167334082C866D548C958C0008F646430673340EE2F218423C958C02CA9731C296733405B07CE1623C958C0AB5AA2BD35673340FC034AA122C958C0A7805B964367334010529C3322C958C07AFA7E6350673340C9A55BF521C958C008E991A757673340446E63D921C958C0EF0F9D735C6733400188FDA222C958C0A868779F5C673340B2C346332DC958C02125CEE75E6733402EE53F9A39C958C091072E90616733408578841743C958C0869F919C636733405895F88447C958C0D72AF4AA646733406D37F70849C958C054FCD4E3646733403BA786AF49C958C02A42150665673340C1820CB872C958C0E739E8D96D673340,BENITO JUAREZ,4270,1238,329,95,24,28,11,21,11,312,9,18,8,2,0,0,13,1,0,0,2,21,905,329,312,95,17,0.01878453,217,0.239779006,0.731017771,36.35%,10.50%,2.65%,3.09%,1.22%,2.32%,1.22%,34.48%,0.99%,1.99%,0.88%,0.22%,0.00%,0.00%,1.44%,0.11%,0.00%,0.00%,0.22%,2.32%,100.00%,36.35%,34.48%,10.50%,PAN,MORENA,PRI,42.87%,36.80%,10.50%,3.09%,6.74%,100.00%,42.87%,36.80%,10.50%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E610000001000000010300000001000000220000009E826B699EC958C0D06EB26E6F673340DB539E919EC958C0AACBEC0A6B6733408C49CAFF9EC958C01EAD7EBA61673340565D9E80A3C958C00E1DB89CF4663340355CD6D6A0C958C0CE278037F5663340B837817B97C958C0F0164857F76633402C3025E586C958C054D7331BFB6633401FA4410E87C958C01635C0C7F2663340838A943987C958C04EA39301EA663340D0BE6C7681C958C0CA21C106EB6633408849895B82C958C0B83CC8AABF663340759ECF8F77C958C0B016F8F6BC66334088D961BE74C958C0C9046042BC66334094280FF768C958C09C4E864FB966334045C3444968C958C0523FB236EF663340FCCA3F2A68C958C074DD50D5F866334080619F1368C958C0025245DAFF663340120118A775C958C0C97C6160FF6633403CC157D574C958C01D8FF73A1E67334033F9E7ED73C958C0EB4B1E4640673340CE96031A73C958C01BB91F715F673340457B120573C958C0E9D72D0E626733405A1483DC72C958C0A871131B67673340A961DFC572C958C07A3DD2F169673340C4DFE9C072C958C0549F95586B673340C1820CB872C958C0E739E8D96D6733400BBDD11D95C958C07F7630196F67334038C26F3D9AC958C0256C13486F67334052E7AFA79AC958C0021FEB4B6F6733409333FC599BC958C062D25D526F67334042E229F49BC958C0CF2FF1576F6733402AAACDB59CC958C079B61E596F6733400E7AC8819DC958C0540304676F6733409E826B699EC958C0D06EB26E6F673340,BENITO JUAREZ,4271,1348,383,91,22,33,11,31,7,365,16,24,10,3,0,2,4,1,1,0,1,18,1023,383,365,91,18,0.017595308,274,0.267839687,0.758902077,37.44%,8.90%,2.15%,3.23%,1.08%,3.03%,0.68%,35.68%,1.56%,2.35%,0.98%,0.29%,0.00%,0.20%,0.39%,0.10%,0.10%,0.00%,0.10%,1.76%,100.00%,37.44%,35.68%,8.90%,PAN,MORENA,PRI,43.21%,38.22%,8.90%,3.23%,6.45%,100.00%,43.21%,38.22%,8.90%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E610000001000000010300000001000000110000009E826B699EC958C0D06EB26E6F6733405B8578DF9EC958C02E13B9736F6733406985F1B39FC958C020C7C47C6F67334005333D42A0C958C09399D3826F67334035B35B3CC1C958C0441D0AEA706733405A8D4747C1C958C0F0C565986E67334031673352C1C958C0656EC1466C673340B8135C5EC1C958C0A8E4DADD6967334032F6D767C1C958C06751E0BD676733409D075971C1C958C0A6DA3CAE656733406DB54BA1C3C958C07659D8C1EE6633405E9DB326B9C958C012ED16AAF06633403550B177AEC958C045AFD59BF2663340565D9E80A3C958C00E1DB89CF46633408C49CAFF9EC958C01EAD7EBA61673340DB539E919EC958C0AACBEC0A6B6733409E826B699EC958C0D06EB26E6F673340,BENITO JUAREZ,4272,1168,333,102,15,20,9,14,7,266,14,24,6,9,0,1,2,0,0,0,0,21,843,333,266,102,67,0.079478055,164,0.194543298,0.721746575,39.50%,12.10%,1.78%,2.37%,1.07%,1.66%,0.83%,31.55%,1.66%,2.85%,0.71%,1.07%,0.00%,0.12%,0.24%,0.00%,0.00%,0.00%,0.00%,2.49%,100.00%,39.50%,31.55%,12.10%,PAN,MORENA,PRI,43.18%,34.52%,12.10%,2.37%,7.83%,100.00%,43.18%,34.52%,12.10%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000001B00000035B35B3CC1C958C0441D0AEA706733403AF56C3AEFC958C02BE9F23F7067334059051AD7EFC958C0323BAE3D706733409F77A04CF0C958C0F5A1FA3B70673340E6FE71F5F1C958C05DEBD335706733407EFCEE10F2C958C0CB8B5D9C6A67334094A58134F2C958C0388F4E5D636733407ED05FAEF4C958C03E4ACB3DE26633405A1639EFF4C958C002DE3808D566334048C7BEE2F5C958C05EB038AEA3663340CC7B0FD8F6C958C011D015F77166334058415020F9C958C039C2268FFB653340DFF76FB1EBC958C09B6D53F0FA653340F6C8DE13E0C958C0DD7FE03FFA6533406B11749DDEC958C03760D8354866334002C810DEDDC958C03760800F70663340CC350B6CDCC958C0AE0303BBDB6633402DC76383DCC958C05D57C92EE2663340FDCF9F88DCC958C0A945D87AE9663340023AF5F7CEC958C071246163EC6633406DB54BA1C3C958C07659D8C1EE6633409D075971C1C958C0A6DA3CAE6567334032F6D767C1C958C06751E0BD67673340B8135C5EC1C958C0A8E4DADD6967334031673352C1C958C0656EC1466C6733405A8D4747C1C958C0F0C565986E67334035B35B3CC1C958C0441D0AEA70673340,BENITO JUAREZ,4273,1494,389,103,32,25,16,36,14,362,7,33,4,1,0,5,9,4,0,0,0,31,1071,389,362,103,27,0.025210084,259,0.241830065,0.71686747,36.32%,9.62%,2.99%,2.33%,1.49%,3.36%,1.31%,33.80%,0.65%,3.08%,0.37%,0.09%,0.00%,0.47%,0.84%,0.37%,0.00%,0.00%,0.00%,2.89%,100.00%,36.32%,33.80%,9.62%,PAN,MORENA,PRI,43.88%,36.23%,9.62%,2.33%,7.94%,100.00%,43.88%,36.23%,9.62%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E61000000100000001030000000100000019000000E6FE71F5F1C958C05DEBD33570673340CDC1E7D8F3C958C0F8388F2F706733408D08B080F4C958C0343F622D706733407637C81EF5C958C0AC65552B7067334040571EC6FFC958C0EFC3F107706733407CBBBF0607CA58C0931D42556E67334074BC1DB30ECA58C0E52BD3ED686733407170CC7817CA58C0710B427D5E6733407EF8384E2FCA58C0426AC030426733406166851D2FCA58C025232F3F3E67334023DA4EF12ECA58C0CC6370A73A673340CD7CF1D12ECA58C013880C18386733409428BC762ECA58C0B008EEB53067334079A1B7DD2DCA58C0F8D5DC2323673340E13053B32FCA58C099680966D2663340C8508EF12FCA58C0307BF478C5663340BEB503F624CA58C0D81D6C0AC86633403BDB139119CA58C06EE77DB4CA663340B15A2B130ECA58C037C3E6F1CD663340460C1FB802CA58C079177025D16633405A1639EFF4C958C002DE3808D56633407ED05FAEF4C958C03E4ACB3DE266334094A58134F2C958C0388F4E5D636733407EFCEE10F2C958C0CB8B5D9C6A673340E6FE71F5F1C958C05DEBD33570673340,BENITO JUAREZ,4274,1312,398,94,40,26,11,16,9,280,10,26,7,1,0,2,7,1,0,0,0,17,945,398,280,94,118,0.124867725,186,0.196825397,0.72027439,42.12%,9.95%,4.23%,2.75%,1.16%,1.69%,0.95%,29.63%,1.06%,2.75%,0.74%,0.11%,0.00%,0.21%,0.74%,0.11%,0.00%,0.00%,0.00%,1.80%,100.00%,42.12%,29.63%,9.95%,PAN,MORENA,PRI,48.89%,31.85%,9.95%,2.75%,6.56%,100.00%,48.89%,31.85%,9.95%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E610000001000000010300000001000000220000007EF8384E2FCA58C0426AC0304267334096FBA48E38CA58C0C03DCB93376733409F95816140CA58C0813D11402E6733407B82EEC240CA58C0CD90EBCB2D6733401279141641CA58C06131CB682D6733400297CC9A41CA58C0940B92CA2C6733403D58692542CA58C0395252252C67334003273AD444CA58C0EA7A85F228673340E295564645CA58C0D8417B6A2867334001DEA8A245CA58C051216BFC2767334058DBDCA952CA58C0E7453F7418673340D89507F860CA58C0F869914C06673340DF1C935661CA58C0C64594D405673340BC8100B261CA58C01B0B8C6005673340FA9F1FC462CA58C05863A7040467334033BE545D62CA58C0984C6BB9FE6633404A415FBB61CA58C0FAEB1E62F6663340C43571E360CA58C0A1F04043EB663340FA5798665FCA58C0BBD3C32CCB663340614C682760CA58C0F27221D3B86633404776C8E160CA58C0C395F6C1AD663340DC6A150650CA58C0E3FEB08DB6663340B207680E47CA58C006166D3BBB6633404525860A48CA58C09455969F84663340249E6BEC3CCA58C09FEE56818166334004BB909731CA58C05708B1537E663340C8508EF12FCA58C0307BF478C5663340E13053B32FCA58C099680966D266334079A1B7DD2DCA58C0F8D5DC23236733409428BC762ECA58C0B008EEB530673340CD7CF1D12ECA58C013880C183867334023DA4EF12ECA58C0CC6370A73A6733406166851D2FCA58C025232F3F3E6733407EF8384E2FCA58C0426AC03042673340,BENITO JUAREZ,4275,1079,333,86,21,25,6,6,5,234,10,20,4,2,0,0,10,3,0,0,0,21,786,333,234,86,99,0.125954198,148,0.188295165,0.728452271,42.37%,10.94%,2.67%,3.18%,0.76%,0.76%,0.64%,29.77%,1.27%,2.54%,0.51%,0.25%,0.00%,0.00%,1.27%,0.38%,0.00%,0.00%,0.00%,2.67%,100.00%,42.37%,29.77%,10.94%,PAN,MORENA,PRI,47.46%,31.30%,10.94%,3.18%,7.12%,100.00%,47.46%,31.30%,10.94%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000000E0000003BDB139119CA58C06EE77DB4CA663340BEB503F624CA58C0D81D6C0AC8663340C8508EF12FCA58C0307BF478C566334004BB909731CA58C05708B1537E663340249E6BEC3CCA58C09FEE5681816633404525860A48CA58C09455969F84663340941D090A4ACA58C009CB86DD0F66334068AB614D3FCA58C00353FA400E663340EC85EDA833CA58C05988C34E0A6633401015A86528CA58C05CBE176B06663340B8E60B881DCA58C022CB310004663340B99E5CFE1ACA58C06A3BF8187B6633400E23A3301ACA58C0A0FAA6DF9B6633403BDB139119CA58C06EE77DB4CA663340,BENITO JUAREZ,4276,1173,411,103,18,23,14,11,5,234,6,14,2,0,0,0,7,0,1,0,3,16,868,411,234,103,177,0.203917051,131,0.150921659,0.73998295,47.35%,11.87%,2.07%,2.65%,1.61%,1.27%,0.58%,26.96%,0.69%,1.61%,0.23%,0.00%,0.00%,0.00%,0.81%,0.00%,0.12%,0.00%,0.35%,1.84%,100.00%,47.35%,26.96%,11.87%,PAN,MORENA,PRI,51.61%,28.80%,11.87%,2.65%,5.07%,100.00%,51.61%,28.80%,11.87%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000000D0000005A1639EFF4C958C002DE3808D5663340460C1FB802CA58C079177025D1663340B15A2B130ECA58C037C3E6F1CD6633403BDB139119CA58C06EE77DB4CA6633400E23A3301ACA58C0A0FAA6DF9B663340B99E5CFE1ACA58C06A3BF8187B663340B8E60B881DCA58C022CB31000466334060263B1012CA58C025DC845201663340E27790E006CA58C0B473ABBFFE65334058415020F9C958C039C2268FFB653340CC7B0FD8F6C958C011D015F77166334048C7BEE2F5C958C05EB038AEA36633405A1639EFF4C958C002DE3808D5663340,BENITO JUAREZ,4277,1572,508,130,37,34,12,31,9,338,11,17,5,2,0,0,9,1,1,0,0,24,1169,508,338,130,170,0.145423439,208,0.177929855,0.743638677,43.46%,11.12%,3.17%,2.91%,1.03%,2.65%,0.77%,28.91%,0.94%,1.45%,0.43%,0.17%,0.00%,0.00%,0.77%,0.09%,0.09%,0.00%,0.00%,2.05%,100.00%,43.46%,28.91%,11.12%,PAN,MORENA,PRI,50.21%,30.54%,11.12%,2.91%,5.22%,100.00%,50.21%,30.54%,11.12%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000000A00000002C810DEDDC958C03760800F706633406B11749DDEC958C03760D83548663340F6C8DE13E0C958C0DD7FE03FFA6533408CD75A83D3C958C0498FF3BBF965334046AAFF16C9C958C0CF638505FA653340C676B1F6BDC958C05ECA0254FA653340959A0D1DBDC958C01A7155682666334071E4B6B7BBC958C067AD40A26E6633407CBAED79D1C958C047A9A5DC6F66334002C810DEDDC958C03760800F70663340,BENITO JUAREZ,4278,1459,352,97,22,31,11,14,4,423,17,27,10,2,0,1,6,0,0,0,0,28,1045,423,352,97,71,0.067942584,255,0.244019139,0.716244003,33.68%,9.28%,2.11%,2.97%,1.05%,1.34%,0.38%,40.48%,1.63%,2.58%,0.96%,0.19%,0.00%,0.10%,0.57%,0.00%,0.00%,0.00%,0.00%,2.68%,100.00%,40.48%,33.68%,9.28%,MORENA,PAN,PRI,37.70%,42.78%,9.28%,2.97%,7.27%,100.00%,42.78%,37.70%,9.28%,JUNTOS HAREMOS HISTORIA,POR MÉXICO AL FRENTE,PRI
