the_geom,sec,dem,eleccion,ln,pe,pan,pri,prd,pvem,pt,mc,morena,elige,pes,rsp,fxm,pt_morena,cnr,nulos,total_emitida,max,2max,3max,marg_1_2,marg_p_1_2,mar_2_3,marg_p_2_3,part_p,pan_p,pri_p,prd_,pvem_p,pt_p,mc_p,morena_p,elige_p,pes_p,rsp_p,fxm_p,pt_morena_p,cnr_p,nulos_p,totales_p,max_p,max2_p,max3_p,1er,2ndo,3er,coal_pan_p,coal_pri_p,coal_prd_,coal_pvem_p,coal_mc_p,coal_morena_pt,agregado_otros_p,coal_totales_p,max_coal,max2_coal,max3_coal,1er_coal,2ndo_coal,3er_coal%
0106000020E6100000010000000103000000010000001F000000A88863D921C958C088CC9C735C673340618D5BF521C958C0621192A75767334089549C3322C958C00C4D7F635067334088EC49A122C958C072E85B9643673340EBF6CD1623C958C0AEADA2BD35673340B63C218423C958C09121741C296733401F5E3C6C24C958C05DFE964F12673340D7F7F10625C958C05AF621380267334083F9BA5F25C958C095C711F7F86633401D10267B16C958C089C2C005F16633408F83292A09C958C06BE5AD50E9663340024993F40CC958C0D9846CA78B6633406CE5D386FEC858C03AE1E20D8466334036E04FC2FAC858C057C00745E166334075977BFFEBC858C060B04E7DD8663340E8DBA83CDDC858C03A6682B5CF6633400E5AD01BD1C858C0B63E1DE1C86633403C53D9AFC5C858C0B0B48772C2663340B11D2086C1C858C002175F1AC0663340C3E2DCBFBDC858C02143C7DA23673340E7899834BDC858C042AB473B326733403DEF996EBCC858C05F97A3D1466733405B86C641BEC858C012118F1C47673340359BC837CAC858C07CB19307496733404AF02341D8C858C068887BC54C673340E7C6A4DAD9C858C08A8C301D4D673340307BDBC9E6C858C0922A59E24F6733406DAD540DF7C858C080E70693536733409EBE5A51F8C858C091DA78DC53673340EAFFD39304C958C0C3AACBA356673340A88863D921C958C088CC9C735C673340,4269,BENITO JUAREZ,2021,1689,1707,629,72,5,12,5,17,268,2,5,4,6,2,1,34,1062,629,268,72,361,0.3399246704,196,0.184557439,0.6287744227,59.23%,6.78%,0.47%,1.13%,0.47%,1.60%,25.24%,0.19%,0.47%,0.38%,0.56%,0.19%,0.09%,3.20%,100.00%,59.23%,25.24%,6.78%,PAN,MORENA,PRI,59.23%,6.78%,0.47%,1.13%,1.60%,25.89%,4.90%,100.00%,59.23%,25.89%,6.78%,PAN,MORENA_PT,PRI
0106000020E6100000010000000103000000010000001C000000D6A10CB872C958C074DBE7D96D67334038DFE9C072C958C034EA95586B673340A43EDFC572C958C0FDC2D1F169673340C81583DC72C958C0E0E5131B67673340D781120573C958C07FDF2D0E62673340E7B4031A73C958C051F91F715F6733401ED7E7ED73C958C0D75D1E464067334066DE57D574C958C0F529F73A1E67334036E717A775C958C0B8196160FF6633405B5F9F1368C958C0492D45DAFF66334074A4E2D65AC958C09381A724026733402828A7294AC958C04920F94B04673340B8C8854749C958C092A70E982167334000AF66D548C958C08752646430673340B63C218423C958C09121741C29673340EBF6CD1623C958C0AEADA2BD3567334088EC49A122C958C072E85B964367334089549C3322C958C00C4D7F6350673340618D5BF521C958C0621192A757673340A88863D921C958C088CC9C735C6733408A6FFDA222C958C08E67779F5C67334055B146332DC958C02A61CEE75E673340E9EE3F9A39C958C07FC42D90616733408A9B841743C958C03A52919C636733407EB4F88447C958C070E7F3AA64673340AA23F70849C958C01675D4E36467334015C586AF49C958C021DC140665673340D6A10CB872C958C074DBE7D96D673340,4270,BENITO JUAREZ,2021,1202,1217,435,49,6,10,1,13,166,2,3,6,4,2,0,14,711,435,166,49,269,0.3783403657,117,0.164556962,0.5915141431,61.18%,6.89%,0.84%,1.41%,0.14%,1.83%,23.35%,0.28%,0.42%,0.84%,0.56%,0.28%,0.00%,1.97%,100.00%,61.18%,23.35%,6.89%,PAN,MORENA,PRI,61.18%,6.89%,0.84%,1.41%,1.83%,23.77%,4.08%,100.00%,61.18%,23.77%,6.89%,PAN,MORENA_PT,PRI
0106000020E61000000100000001030000000100000022000000CA676B699EC958C03FA4B26E6F673340CB2F9E919EC958C08C58EC0A6B6733405D58CAFF9EC958C0EF3F7EBA616733409F3C9E80A3C958C0396CB89CF46633402849D6D6A0C958C024A97F37F56633406A15817B97C958C0D6744857F7663340131525E586C958C0CBFF331BFB663340B8B2410E87C958C0CE8EC0C7F266334067AA943987C958C069999301EA663340CD9D6C7681C958C04B5BC106EB6633403361895B82C958C03404C8AABF6633402D9CCF8F77C958C05757F8F6BC663340EBC461BE74C958C0005A6042BC663340104C0FF768C958C04F0C864FB96633405BD0444968C958C07313B236EF663340B3C33F2A68C958C0A10151D5F86633405B5F9F1368C958C0492D45DAFF66334036E717A775C958C0B8196160FF66334066DE57D574C958C0F529F73A1E6733401ED7E7ED73C958C0D75D1E4640673340E7B4031A73C958C051F91F715F673340D781120573C958C07FDF2D0E62673340C81583DC72C958C0E0E5131B67673340A43EDFC572C958C0FDC2D1F16967334038DFE9C072C958C034EA95586B673340D6A10CB872C958C074DBE7D96D67334062A7D11D95C958C010F430196F67334084BB6F3D9AC958C0A11E13486F673340B6EEAFA79AC958C053A2EA4B6F6733402320FC599BC958C03B775D526F6733402BBE29F49BC958C008D1F0576F673340398ACDB59CC958C0DAE61E596F6733408A83C8819DC958C067BD03676F673340CA676B699EC958C03FA4B26E6F673340,4271,BENITO JUAREZ,2021,1323,1339,585,30,11,6,9,11,191,0,1,3,5,1,1,8,862,585,191,30,394,0.4570765661,161,0.186774942,0.6515495087,67.87%,3.48%,1.28%,0.70%,1.04%,1.28%,22.16%,0.00%,0.12%,0.35%,0.58%,0.12%,0.12%,0.93%,100.00%,67.87%,22.16%,3.48%,PAN,MORENA,PRI,67.87%,3.48%,1.28%,0.70%,1.28%,23.32%,2.09%,100.00%,67.87%,23.32%,3.48%,PAN,MORENA_PT,PRI
0106000020E61000000100000001030000000100000011000000CA676B699EC958C03FA4B26E6F673340B16578DF9EC958C04F85B9736F673340D86BF1B39FC958C0B390C47C6F6733403A1F3D42A0C958C0200ED4826F6733402D915B3CC1C958C021150AEA706733405A9A4747C1C958C06C7865986E673340E4593352C1C958C072F2C1466C673340FA125C5EC1C958C03ED7DADD6967334039EED767C1C958C065DEDFBD676733400E105971C1C958C0CF5E3DAE65673340A8B44BA1C3C958C012C8D8C1EE66334087A3B326B9C958C010CE16AAF0663340F173B177AEC958C061F9D59BF26633409F3C9E80A3C958C0396CB89CF46633405D58CAFF9EC958C0EF3F7EBA61673340CB2F9E919EC958C08C58EC0A6B673340CA676B699EC958C03FA4B26E6F673340,4272,BENITO JUAREZ,2021,1245,1266,474,48,2,8,3,12,148,4,3,0,2,3,3,15,725,474,148,48,326,0.4496551724,100,0.137931034,0.5823293173,65.38%,6.62%,0.28%,1.10%,0.41%,1.66%,20.41%,0.55%,0.41%,0.00%,0.28%,0.41%,0.41%,2.07%,100.00%,65.38%,20.41%,6.62%,PAN,MORENA,PRI,65.38%,6.62%,0.28%,1.10%,1.66%,21.24%,3.72%,100.00%,65.38%,21.24%,6.62%,PAN,MORENA_PT,PRI
0106000020E6100000010000000103000000010000001B0000002D915B3CC1C958C021150AEA7067334037E96C3AEFC958C0C570F23F70673340C3F019D7EFC958C0A45AAE3D706733409296A04CF0C958C0286FFA3B7067334091EC71F5F1C958C03EC2D3357067334037F7EE10F2C958C0BAB15D9C6A673340058C8134F2C958C080FD4E5D6367334016C55FAEF4C958C05780CB3DE2663340B11839EFF4C958C073A93808D5663340B3E6BEE2F5C958C0960F39AEA36633408A670FD8F6C958C0668615F77166334035245020F9C958C02A31278FFB653340591170B1EBC958C0FF2853F0FA65334092E3DE13E0C958C07A1BE03FFA653340CB34749DDEC958C069ACD8354866334084AA10DEDDC958C0F9D87F0F70663340BD130B6CDCC958C024D802BBDB663340FEE86383DCC958C0EAE3C82EE26633407BBB9F88DCC958C0C5BCD77AE96633402024F5F7CEC958C0A59D6063EC663340A8B44BA1C3C958C012C8D8C1EE6633400E105971C1C958C0CF5E3DAE6567334039EED767C1C958C065DEDFBD67673340FA125C5EC1C958C03ED7DADD69673340E4593352C1C958C072F2C1466C6733405A9A4747C1C958C06C7865986E6733402D915B3CC1C958C021150AEA70673340,4273,BENITO JUAREZ,2021,1497,1510,554,77,8,11,3,11,186,3,3,1,2,3,0,17,879,554,186,77,368,0.4186575654,109,0.124004551,0.5871743487,63.03%,8.76%,0.91%,1.25%,0.34%,1.25%,21.16%,0.34%,0.34%,0.11%,0.23%,0.34%,0.00%,1.93%,100.00%,63.03%,21.16%,8.76%,PAN,MORENA,PRI,63.03%,8.76%,0.91%,1.25%,1.25%,21.84%,2.96%,100.00%,63.03%,21.84%,8.76%,PAN,MORENA_PT,PRI
0106000020E6100000010000000103000000010000001900000091EC71F5F1C958C03EC2D33570673340CFA6E7D8F3C958C0993C8F2F70673340E927B080F4C958C01FD3612D70673340C74DC81EF5C958C0A2E7552B7067334054521EC6FFC958C053F3F10770673340ACDBBF0607CA58C00AB241556E673340FEB51DB30ECA58C0C5ABD3ED68673340D65FCC7817CA58C0A1BA417D5E6733400EE6384E2FCA58C0ADCBC03042673340816F851D2FCA58C000E72E3F3E67334004CE4EF12ECA58C0FE7070A73A6733408F71F1D12ECA58C05A040C18386733403011BC762ECA58C0EBB3EDB53067334076BFB7DD2DCA58C0158CDC2323673340992E53B32FCA58C0D7510966D2663340463F8EF12FCA58C05896F478C5663340C4D203F624CA58C02B296C0AC866334053D5139119CA58C006857DB4CA663340FF7E2B130ECA58C06CF9E6F1CD663340A4031FB802CA58C0BDC96F25D1663340B11839EFF4C958C073A93808D566334016C55FAEF4C958C05780CB3DE2663340058C8134F2C958C080FD4E5D6367334037F7EE10F2C958C0BAB15D9C6A67334091EC71F5F1C958C03EC2D33570673340,4274,BENITO JUAREZ,2021,1289,1308,528,68,8,3,7,10,145,3,6,2,6,1,0,19,806,528,145,68,383,0.4751861042,77,0.095533499,0.6252909232,65.51%,8.44%,0.99%,0.37%,0.87%,1.24%,17.99%,0.37%,0.74%,0.25%,0.74%,0.12%,0.00%,2.36%,100.00%,65.51%,17.99%,8.44%,PAN,MORENA,PRI,65.51%,8.44%,0.99%,0.37%,1.24%,18.98%,4.47%,100.00%,65.51%,18.98%,8.44%,PAN,MORENA_PT,PRI
0106000020E610000001000000010300000001000000220000000EE6384E2FCA58C0ADCBC030426733409EE3A48E38CA58C0FEB9CB93376733401F8B816140CA58C018E610402E673340D697EEC240CA58C031C0EBCB2D673340236E141641CA58C0B9E6CA682D673340AF90CC9A41CA58C0B0F691CA2C6733409975692542CA58C02BCB52252C673340B8353AD444CA58C09A9885F2286733408C9E564645CA58C088007B6A2867334063BCA8A245CA58C0099E6AFC2767334043C6DCA952CA58C08E3C3F7418673340E79F07F860CA58C009E2914C066733405224935661CA58C0FE0694D405673340656D00B261CA58C0164C8C6005673340938E1FC462CA58C07842A7040467334053BA545D62CA58C017286BB9FE663340A0505FBB61CA58C042721E62F6663340241571E360CA58C07E944043EB663340B43F98665FCA58C091D8C32CCB6633403149682760CA58C0E52D21D3B8663340C282C8E160CA58C0A10BF7C1AD663340964D150650CA58C0A535B18DB6663340B625680E47CA58C067D26C3BBB663340FC28860A48CA58C07E68969F84663340427B6BEC3CCA58C04C5757818166334012D8909731CA58C0957DB0537E663340463F8EF12FCA58C05896F478C5663340992E53B32FCA58C0D7510966D266334076BFB7DD2DCA58C0158CDC23236733403011BC762ECA58C0EBB3EDB5306733408F71F1D12ECA58C05A040C183867334004CE4EF12ECA58C0FE7070A73A673340816F851D2FCA58C000E72E3F3E6733400EE6384E2FCA58C0ADCBC03042673340,4275,BENITO JUAREZ,2021,1073,1097,453,40,9,3,0,7,129,2,3,1,6,0,0,5,658,453,129,40,324,0.4924012158,89,0.135258359,0.6132339236,68.84%,6.08%,1.37%,0.46%,0.00%,1.06%,19.60%,0.30%,0.46%,0.15%,0.91%,0.00%,0.00%,0.76%,100.00%,68.84%,19.60%,6.08%,PAN,MORENA,PRI,68.84%,6.08%,1.37%,0.46%,1.06%,19.60%,2.58%,100.00%,68.84%,19.60%,6.08%,PAN,MORENA_PT,PRI
0106000020E6100000010000000103000000010000000E00000053D5139119CA58C006857DB4CA663340C4D203F624CA58C02B296C0AC8663340463F8EF12FCA58C05896F478C566334012D8909731CA58C0957DB0537E663340427B6BEC3CCA58C04C57578181663340FC28860A48CA58C07E68969F84663340BB19090A4ACA58C0C70D87DD0F66334051B6614D3FCA58C0D92DFA400E663340CDA3EDA833CA58C04067C34E0A663340CD18A86528CA58C085CE176B0666334026FD0B881DCA58C0894D3200046633407EBC5CFE1ACA58C073D9F7187B6633402325A3301ACA58C0860EA7DF9B66334053D5139119CA58C006857DB4CA663340,4276,BENITO JUAREZ,2021,1126,1143,522,51,3,1,3,11,103,4,1,3,1,2,3,14,722,522,103,51,419,0.5803324100,52,0.072022161,0.6412078153,72.30%,7.06%,0.42%,0.14%,0.42%,1.52%,14.27%,0.55%,0.14%,0.42%,0.14%,0.28%,0.42%,1.94%,100.00%,72.30%,14.27%,7.06%,PAN,MORENA,PRI,72.30%,7.06%,0.42%,0.14%,1.52%,14.96%,3.60%,100.00%,72.30%,14.96%,7.06%,PAN,MORENA_PT,PRI
0106000020E6100000010000000103000000010000000D000000B11839EFF4C958C073A93808D5663340A4031FB802CA58C0BDC96F25D1663340FF7E2B130ECA58C06CF9E6F1CD66334053D5139119CA58C006857DB4CA6633402325A3301ACA58C0860EA7DF9B6633407EBC5CFE1ACA58C073D9F7187B66334026FD0B881DCA58C0894D32000466334025443B1012CA58C095B2845201663340D96890E006CA58C0E0E1ABBFFE65334035245020F9C958C02A31278FFB6533408A670FD8F6C958C0668615F771663340B3E6BEE2F5C958C0960F39AEA3663340B11839EFF4C958C073A93808D5663340,4277,BENITO JUAREZ,2021,1582,1604,767,63,7,11,18,20,176,2,5,1,7,1,1,16,1095,767,176,63,591,0.5397260274,113,0.103196347,0.6921618205,70.05%,5.75%,0.64%,1.00%,1.64%,1.83%,16.07%,0.18%,0.46%,0.09%,0.64%,0.09%,0.09%,1.46%,100.00%,70.05%,16.07%,5.75%,PAN,MORENA,PRI,70.05%,5.75%,0.64%,1.00%,1.83%,17.81%,2.92%,100.00%,70.05%,17.81%,5.75%,PAN,MORENA_PT,PRI
0106000020E6100000010000000103000000010000000A00000084AA10DEDDC958C0F9D87F0F70663340CB34749DDEC958C069ACD8354866334092E3DE13E0C958C07A1BE03FFA65334006CA5A83D3C958C0CDB2F3BBF965334002B4FF16C9C958C003A58505FA6533403D97B1F6BDC958C0CD0A0354FA653340F7A20D1DBDC958C03D4455682666334037D5B6B7BBC958C0659940A26E66334064AEED79D1C958C0C5F8A5DC6F66334084AA10DEDDC958C0F9D87F0F70663340,4278,BENITO JUAREZ,2021,1450,1465,546,51,6,8,9,24,194,2,5,2,3,5,0,15,870,546,194,51,352,0.4045977011,143,0.164367816,0.6000000000,62.76%,5.86%,0.69%,0.92%,1.03%,2.76%,22.30%,0.23%,0.57%,0.23%,0.34%,0.57%,0.00%,1.72%,100.00%,62.76%,22.30%,5.86%,PAN,MORENA,PRI,62.76%,5.86%,0.69%,0.92%,2.76%,23.91%,3.10%,100.00%,62.76%,23.91%,5.86%,PAN,MORENA_PT,PRI
